src,alt
https://sece.ac.in/wp-content/uploads/2024/05/clg-logo2-1024x292.webp,
https://sece.ac.in/wp-content/uploads/2024/05/image-4.png,
https://sece.ac.in/wp-content/uploads/2024/05/image-5.png,
https://sece.ac.in/wp-content/uploads/2024/05/image-1000x1000__4_-removebg-preview-1.webp,
https://sece.ac.in/wp-content/uploads/2024/05/SDG-LOGO-1.webp,
https://jgk.fab.myftpupload.com/wp-content/uploads/2024/05/header-logo.svg,header-logo.svg
https://jgk.fab.myftpupload.com/wp-content/uploads/2024/05/header-logo.svg,header-logo.svg
https://jgk.fab.myftpupload.com/wp-content/uploads/2024/05/header-logo.svg,header-logo.svg
https://jgk.fab.myftpupload.com/wp-content/uploads/2024/05/Group-1.png,
https://jgk.fab.myftpupload.com/wp-content/uploads/2024/05/header-logo.svg,header-logo.svg
https://jgk.fab.myftpupload.com/wp-content/uploads/2024/05/Group-1.png,
https://sece.ac.in/wp-content/uploads/2024/05/image-4.png,
https://sece.ac.in/wp-content/uploads/2024/05/image-5.png,
https://sece.ac.in/wp-content/uploads/2024/05/image-4.png,
https://sece.ac.in/wp-content/uploads/2024/05/image-5.png,
https://jgk.fab.myftpupload.com/wp-content/uploads/2024/05/header-logo.svg,header-logo.svg
https://sece.ac.in/wp-content/uploads/2024/05/clg-logo2-1024x292.webp,
https://jgk.fab.myftpupload.com/wp-content/uploads/2024/05/header-logo.svg,header-logo.svg
https://sece.ac.in/wp-content/uploads/2024/05/image-4.png,
https://sece.ac.in/wp-content/uploads/2024/05/image-5.png,
https://sece.ac.in/wp-content/uploads/2024/05/image-4.png,
https://sece.ac.in/wp-content/uploads/2024/05/image-5.png,
https://sece.ac.in/wp-content/uploads/2025/04/International-Collegiate-Programming-Contest-ICPC-Chennai-Regional-2024-new-1.webp,
https://sece.ac.in/wp-content/uploads/2025/03/Sri-Eshwar-College-of-Engineering-Centre-for-Research-And-Development-Banner.webp,
https://sece.ac.in/wp-content/uploads/2024/05/Group-61-1.png,
https://sece.ac.in/wp-content/uploads/2025/04/srieshwar_stats2.webp,
https://sece.ac.in/wp-content/uploads/2024/05/Group-4-1-1-1-1.png,
https://sece.ac.in/wp-content/uploads/2025/04/homepage_stat_center-1.webp,
https://sece.ac.in/wp-content/uploads/2025/04/New-Image.webp,
https://sece.ac.in/wp-content/uploads/2025/04/home_stat_6.webp,
https://sece.ac.in/wp-content/uploads/2025/04/Drone-Tech-Sri-Eshwar-College-of-Engineering-1024x733.webp,
https://jgk.fab.myftpupload.com/wp-content/uploads/2024/05/Group-61.png,
https://sece.ac.in/wp-content/uploads/2024/05/Group-112.svg,
https://sece.ac.in/wp-content/uploads/2025/04/Group-341.webp,
https://jgk.fab.myftpupload.com/wp-content/uploads/2024/05/Group-61.png,
https://sece.ac.in/wp-content/uploads/2025/09/Colab-768x299.jpg,Colab
https://sece.ac.in/wp-content/uploads/2024/06/worldclass-facilties_makerspace-768x373.jpg,worldclass facilties_makerspace
https://sece.ac.in/wp-content/uploads/2024/07/worldclassfacilities_interactiveclassroom-1-768x373.jpg,worldclassfacilities_interactiveclassroom (1)
https://sece.ac.in/wp-content/uploads/2024/06/worldclass-facilties_IT-centre-768x373.jpg,worldclass facilties_IT centre
https://sece.ac.in/wp-content/uploads/2024/06/worldclass-facilties_innovative-learning-768x373.jpg,worldclass facilties_innovative learning
https://sece.ac.in/wp-content/uploads/2024/07/worldclassfacilities_centreforexcellence_banner-768x373.webp,worldclassfacilities_centreforexcellence_banner
https://sece.ac.in/wp-content/uploads/2024/07/IT-WEB-Banner-1-768x280.jpg,IT WEB-Banner (1)
https://sece.ac.in/wp-content/uploads/2025/02/Synapse-Studio-SECE-768x373.webp,Synapse Studio SECE
https://sece.ac.in/wp-content/uploads/2024/07/worldclassfacilities_Higher-Education-Cell-1-768x373.jpg,worldclassfacilities_Higher Education Cell (1)
https://sece.ac.in/wp-content/uploads/2024/07/HIgher-Education-min-768x480.jpg,HIgher Education-min
https://sece.ac.in/wp-content/uploads/2024/06/worldclass-facilties_ignite-768x373.jpg,worldclass facilties_ignite
https://sece.ac.in/wp-content/uploads/2024/06/srieshwar_worldclassfacilities_centreforresearch-768x373.jpg,srieshwar_worldclassfacilities_centreforresearch
https://sece.ac.in/wp-content/uploads/2024/06/worldclass-facilities_labs-1-768x373.jpg,worldclass facilities_labs (1)
https://sece.ac.in/wp-content/uploads/2024/12/Vista-Hall--768x373.webp,Vista Hall
https://sece.ac.in/wp-content/uploads/2024/06/worldclass-facilties_recordingstudio-768x373.jpg,worldclass facilties_recordingstudio
https://sece.ac.in/wp-content/uploads/2024/06/worldclass-facilties_amenitycentre-768x373.jpg,worldclass facilties_amenitycentre
https://sece.ac.in/wp-content/uploads/2024/06/worldclass-facilties_medicalcentre-768x373.jpg,worldclass facilties_medicalcentre
https://sece.ac.in/wp-content/uploads/2024/06/worldclass-facilties_sports-768x373.jpg,worldclass facilties_sports
https://jgk.fab.myftpupload.com/wp-content/uploads/2024/05/Group-61.png,
https://sece.ac.in/wp-content/uploads/2024/07/top.png,
https://sece.ac.in/wp-content/uploads/2025/04/videotestimonial_sudarssan-1.webp,videotestimonial_sudarssan-1
https://sece.ac.in/wp-content/uploads/2025/04/videotestimonial_preethi-1.webp,videotestimonial_preethi-1
https://sece.ac.in/wp-content/uploads/2025/04/videotestimonial_kirthi.webp,videotestimonial_kirthi
https://sece.ac.in/wp-content/uploads/2025/04/videotestimonial_yesvanth.webp,videotestimonial_yesvanth
https://sece.ac.in/wp-content/uploads/2025/04/videotestimonial_sanjai.webp,videotestimonial_sanjai
https://sece.ac.in/wp-content/uploads/2025/04/videotestimonial_naveen.webp,videotestimonial_naveen
https://sece.ac.in/wp-content/uploads/2025/04/videotestimonial_maheswari.webp,videotestimonial_maheswari
https://sece.ac.in/wp-content/uploads/2025/02/Microsoft-.webp,
https://sece.ac.in/wp-content/uploads/2024/06/autodesk.jpg,
https://sece.ac.in/wp-content/uploads/2024/06/servicenow.jpg,
https://sece.ac.in/wp-content/uploads/2025/07/commvaultcloud.jpeg,
https://sece.ac.in/wp-content/uploads/2024/06/juspay.jpg,
https://sece.ac.in/wp-content/uploads/2025/05/silicon_labs_Logo.jpg,
https://sece.ac.in/wp-content/uploads/2024/06/bp.jpg,
https://sece.ac.in/wp-content/uploads/2024/06/wellsfargo.jpg,
https://sece.ac.in/wp-content/uploads/2024/06/cadence.jpg,
https://sece.ac.in/wp-content/uploads/2024/06/philips.jpg,
https://sece.ac.in/wp-content/uploads/2024/06/caterpillar.jpg,
https://sece.ac.in/wp-content/uploads/2024/09/Dell-Technologies.jpg,
https://sece.ac.in/wp-content/uploads/2024/06/sahaj.jpg,
https://sece.ac.in/wp-content/uploads/2024/06/commscope.jpg,
https://sece.ac.in/wp-content/uploads/2024/06/thoughtworks.jpg,
https://sece.ac.in/wp-content/uploads/2026/05/rocket-logo.png,
https://sece.ac.in/wp-content/uploads/2024/06/presidio.jpg,
https://sece.ac.in/wp-content/uploads/2024/06/se.jpg,
https://jgk.fab.myftpupload.com/wp-content/uploads/2024/05/Screenshot-2024-05-07-104808-300x14.png,
https://sece.ac.in/wp-content/uploads/2024/06/research-introduction.jpg,
https://sece.ac.in/wp-content/uploads/2024/05/Group-136-1-1.png,
https://jgk.fab.myftpupload.com/wp-content/uploads/2024/05/Group-61.png,
https://jgk.fab.myftpupload.com/wp-content/uploads/2024/05/Group-61.png,
https://sece.ac.in/wp-content/uploads/2024/05/Layer_1.png,
https://jgk.fab.myftpupload.com/wp-content/uploads/2024/05/Group-61.png,
https://sece.ac.in/wp-content/uploads/2026/01/achievemnt-poster-768x432.webp,achievemnt poster
https://sece.ac.in/wp-content/uploads/2026/01/POSTER-18-TV-CAT-copy-768x432.webp,POSTER 18 TV CAT copy
https://sece.ac.in/wp-content/uploads/2024/06/caterpillar.jpg,
https://sece.ac.in/wp-content/uploads/2025/11/POSTER-17-TV_ICPC-copy-768x432.jpg,POSTER 17 TV_ICPC copy
https://sece.ac.in/wp-content/uploads/2025/11/ICPC.png,
https://sece.ac.in/wp-content/uploads/2025/09/unsco.jpg,unsco
https://sece.ac.in/wp-content/uploads/2025/09/unscologo.jpg,
https://sece.ac.in/wp-content/uploads/2025/09/POSTER-20-TV-ACHIEVEMENT-copy-768x432.jpg,POSTER 20 TV ACHIEVEMENT copy
https://sece.ac.in/wp-content/uploads/2025/09/abb-logo.png,
https://sece.ac.in/wp-content/uploads/2025/04/Quest-Ingenium-March-2025-1-768x432.webp,Quest Ingenium March 2025
https://sece.ac.in/wp-content/uploads/2025/04/Quest-Global-Ingenium-Mach-2025.webp,
https://sece.ac.in/wp-content/uploads/2025/09/adya-ai-768x432.jpeg,adya ai
https://sece.ac.in/wp-content/uploads/2024/09/adya.jpg,
https://sece.ac.in/wp-content/uploads/2025/09/crayonD-768x432.jpg,crayonD
https://sece.ac.in/wp-content/uploads/2025/09/crayond_logo.jpeg,
https://sece.ac.in/wp-content/uploads/2024/05/Group-61-1.png,
https://sece.ac.in/wp-content/uploads/2026/06/design-thinking-768x432.webp,design thinking
